0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
156,9.3,0,0.016047301,4,249.8092,9,1999,1,0,1,3735.138,1487,14.5,0,0.08996026,8,159.5604,7,2002,1,1,1,1426.1436,1426.1435999999837
8,5.92,1,0.019278216,14,48.2692,3,2009,1,2,2,443.4228,392,12.857645184135976,0,0.009534758,13,64.551,5,1985,1,2,3,1201.769,1201.7689999999827
662,17.5,0,0.016760075,10,141.618,9,1999,1,0,1,2097.27,1396,11.5,0,0.01774202,8,129.6626,2,2007,1,1,1,1836.2764,1836.2763999999827
1121,19.2,1,0.0,6,182.095,0,1998,1,2,0,732.38,642,10.195,0,0.0,5,143.1154,2,2007,1,1,1,2410.8618,2410.8617999999824
1297,8.93,0,0.0,9,53.8614,1,1987,0,2,1,994.7052,436,21.0,0,0.049263979000000006,13,195.0478,1,1987,0,2,1,1549.9824,1549.9823999999849
758,10.395,1,0.0,0,51.4008,3,2009,1,2,2,556.6088,1132,7.365,0,0.042560252,6,226.172,8,1997,2,0,1,3169.208,3169.2079999999823
696,13.65,1,0.012741088999999999,13,57.6588,1,1987,0,2,1,343.5528,1071,12.857645184135976,1,0.141997869,6,90.5514,5,1985,1,2,3,2036.6822,2036.682199999983
738,12.857645184135976,0,0.127469857,13,107.7622,5,1985,1,2,3,4022.7636,657,7.72,1,0.08854386800000001,6,117.5466,7,2002,1,1,1,824.9262,824.9261999999817
440,16.2,1,0.016687114,5,96.9726,7,2002,1,1,1,1076.5986,92,18.35,0,0.069745165,7,190.2872,0,1998,1,2,0,378.1744,378.17439999998373
990,19.2,1,0.09444959,5,187.8214,2,2007,1,1,1,4710.535,638,19.0,0,0.067722325,13,130.8626,3,2009,1,2,2,1573.9512,1573.9511999999845
1171,11.8,0,0.0,6,45.5402,9,1999,1,0,1,1516.0266,1181,19.75,0,0.041330512,6,115.8466,1,1987,0,2,1,2474.7786,2474.778599999984
147,18.5,1,0.045463773,4,144.1102,8,1997,2,0,1,2187.153,1030,7.75,1,0.083268523,5,32.9558,3,2009,1,2,2,101.8674,101.86739999998134
1142,15.1,1,0.1000135,6,145.4786,9,1999,1,0,1,1589.2646,1547,20.0,0,0.058719568,8,111.0544,3,2009,1,2,2,894.8352,894.8351999999844
904,17.6,1,0.047257328,13,119.6782,8,1997,2,0,1,2145.2076,1496,5.88,0,0.024926012999999997,9,149.9392,9,1999,1,0,1,1491.392,1491.3919999999816
375,16.35,0,0.06802430000000001,6,196.4426,1,1987,0,2,1,1977.4260000000002,1280,11.8,0,0.008609602,8,114.8492,2,2007,1,1,1,1390.1904,1390.1903999999827
767,9.0,1,0.06908896099999999,2,56.3614,8,1997,2,0,1,1547.3192,839,17.35,1,0.062979148,0,87.98299999999999,7,2002,1,1,1,1707.777,1707.776999999984
1280,11.8,0,0.008596051,8,115.3492,3,2009,1,2,2,1621.8888,1390,7.475,0,0.07584563400000001,9,156.0656,9,1999,1,0,1,1853.5872,1853.587199999982
767,9.0,1,0.06919637599999999,2,54.3614,9,1999,1,0,1,718.3982,87,17.25,0,0.042480566,4,173.4764,2,2007,1,1,1,2404.8696,2404.869599999984
79,12.857645184135976,0,0.034237682,7,113.2834,5,1985,1,2,3,2303.6679999999997,902,12.65,1,0.156926608,6,238.3538,2,2007,1,1,1,5528.1374,5528.137399999983
968,13.35,0,0.10249212,4,230.5352,6,2004,2,1,1,2748.4224,788,12.857645184135976,1,0.014295563999999998,6,242.6512,5,1985,1,2,3,12117.56,12117.559999999983
666,18.85,1,0.138190277,13,250.8724,1,1987,0,2,1,3775.086,24,9.895,0,0.168780385,14,236.8564,2,2007,1,1,1,4767.128,4767.127999999982
1076,12.857645184135976,1,0.035399923,0,144.5444,5,1985,1,2,3,4064.0432,540,12.857645184135976,1,0.0,12,184.3582,4,1985,2,0,0,185.7582,185.75819999998313
1278,14.6,0,0.025698133999999997,9,196.5084,6,2004,2,1,1,1587.2672,1014,6.61,1,0.04855968,13,188.4898,0,1998,1,2,0,187.0898,187.08979999998104
259,12.857645184135976,0,0.057556998,0,107.6938,4,1985,2,0,0,214.3876,1414,16.35,0,0.016989991,9,98.541,6,2004,2,1,1,772.328,772.3279999999835
843,13.85,1,0.025896485,5,165.021,8,1997,2,0,1,4078.025,362,15.5,1,0.0,13,147.2418,3,2009,1,2,2,1324.2762,1324.2761999999836
1294,13.0,0,0.099887103,9,45.906000000000006,2,2007,1,1,1,838.908,6,12.3,0,0.069401919,14,107.9938,1,1987,0,2,1,2036.6822,2036.6821999999822
1024,7.645,1,0.06669343700000001,13,42.3112,6,2004,2,1,1,1065.28,565,12.857645184135976,0,0.021743592000000003,5,263.191,5,1985,1,2,3,6574.775,6574.774999999983
101,11.65,0,0.019356131999999998,7,39.1164,1,1987,0,2,1,308.9312,764,15.7,1,0.030672457,13,253.1724,9,1999,1,0,1,5285.1204,5285.120399999983
350,5.925,1,0.161466534,4,45.5086,0,1998,1,2,0,178.4344,82,19.6,0,0.03395415,14,56.4614,9,1999,1,0,1,773.6596,773.6595999999846
244,12.857645184135976,1,0.072221801,3,43.6454,4,1985,2,0,0,125.8362,1385,18.85,0,0.040338009,9,246.7144,1,1987,0,2,1,6615.3888,6615.388799999984
1048,19.25,0,0.17034855100000001,4,55.7956,0,1998,1,2,0,163.7868,416,8.975,1,0.05272914,3,86.4224,8,1997,2,0,1,1022.6688,1022.6687999999822
1480,18.6,0,0.080829372,8,96.4436,3,2009,1,2,2,2741.7644,1230,16.1,0,0.0343603,6,253.4356,9,1999,1,0,1,2797.6916,2797.691599999984
756,18.7,0,0.0,13,256.6672,3,2009,1,2,2,3068.0064,1510,11.3,0,0.066952965,9,192.0478,3,2009,1,2,2,3099.9648,3099.9647999999825
706,17.85,0,0.0,1,93.1436,7,2002,1,1,1,2174.5028,456,9.0,0,0.082177842,5,214.1534,7,2002,1,1,1,1720.4272,1720.4271999999826
64,17.5,0,0.097904029,14,174.8738,8,1997,2,0,1,2085.2856,667,6.575,1,0.07549348,1,143.5444,6,2004,2,1,1,3338.3212,3338.321199999981
1533,10.0,0,0.08929113699999999,8,146.7102,9,1999,1,0,1,3791.0652,1308,12.857645184135976,0,0.173574402,9,214.0902,4,1985,2,0,0,1061.951,1061.9509999999832
1032,12.857645184135976,1,0.059511812000000004,6,128.0678,5,1985,1,2,3,2797.6916,1170,12.857645184135976,1,0.042270750999999995,5,162.52100000000002,5,1985,1,2,3,4567.388,4567.387999999983
143,8.85,1,0.113123893,14,122.5388,3,2009,1,2,2,1609.9044,933,12.857645184135976,0,0.0,13,248.8092,5,1985,1,2,3,6474.2392,6474.239199999984
1124,12.857645184135976,1,0.12311145300000001,13,36.9874,5,1985,1,2,3,388.1614,1174,17.6,0,0.049345425,13,115.4176,2,2007,1,1,1,1145.1760000000002,1145.1759999999842
214,12.857645184135976,0,0.026480953999999998,13,87.6198,5,1985,1,2,3,2180.495,880,9.195,1,0.07799564099999999,10,107.1596,1,1987,0,2,1,2804.3496,2804.349599999982
968,13.35,0,0.102511504,4,230.6352,8,1997,2,0,1,3435.528,1139,20.7,1,0.114581955,4,94.3436,3,2009,1,2,2,945.436,945.4359999999847
567,9.8,0,0.02681843,10,126.00200000000001,1,1987,0,2,1,2150.534,1375,12.857645184135976,0,0.047665717,8,42.177,5,1985,1,2,3,1255.0330000000001,1255.0329999999828
180,13.6,0,0.117818348,13,192.9136,9,1999,1,0,1,2527.3768,240,19.0,1,0.10403514800000001,6,227.77200000000002,2,2007,1,1,1,5206.556,5206.555999999984
236,21.35,0,0.06910283099999999,3,259.9278,3,2009,1,2,2,6768.5228,1141,20.35,1,0.014813268000000001,6,234.9958,1,1987,0,2,1,5842.395,5842.394999999984
611,12.15,1,0.042277867000000004,3,126.5046,1,1987,0,2,1,373.5138,1452,12.6,0,0.007468056,9,186.9556,9,1999,1,0,1,3379.6008,3379.6007999999833
641,6.42,0,0.08949892599999999,4,178.1002,0,1998,1,2,0,358.2004,213,12.857645184135976,0,0.025527994,6,157.5262,4,1985,2,0,0,477.3786,477.378599999983
1438,19.6,0,0.0,8,153.3024,7,2002,1,1,1,2428.8384,47,12.857645184135976,0,0.124448295,14,112.0518,4,1985,2,0,0,113.8518,113.85179999998289
1057,10.0,0,0.025879577,3,265.2226,7,2002,1,1,1,5815.0972,1250,14.1,0,0.111936685,13,198.8084,0,1998,1,2,0,992.0419999999999,992.0419999999827
586,15.85,1,0.121632721,0,60.622,8,1997,2,0,1,2576.646,359,17.5,0,0.026925385,5,264.39099999999996,7,2002,1,1,1,5259.82,5259.819999999983
869,12.857645184135976,1,0.25539489600000004,4,196.8794,4,1985,2,0,0,780.3176,1402,18.75,0,0.052252908,8,105.728,3,2009,1,2,2,1704.4479999999999,1704.4479999999842
1378,7.39,0,0.067779712,8,143.8812,8,1997,2,0,1,3134.5864,657,7.72,1,0.147904328,6,116.6466,0,1998,1,2,0,117.8466,117.84659999998098
642,10.195,0,0.159803853,5,141.5154,1,1987,0,2,1,850.8924,389,20.75,1,0.083606565,5,178.8318,8,1997,2,0,1,3608.636,3608.635999999985
830,9.895,1,0.028696932,3,117.0492,1,1987,0,2,1,810.9444,702,17.7,1,0.016664252,6,47.9034,3,2009,1,2,2,729.051,729.0509999999838
177,10.895,0,0.065041581,6,196.3794,2,2007,1,1,1,3121.2704,1378,7.39,0,0.068163102,8,140.4812,2,2007,1,1,1,2422.1804,2422.180399999982
1442,12.15,0,0.028760012999999997,9,151.4708,2,2007,1,1,1,4815.0656,1442,12.857645184135976,0,0.028459761,9,149.9708,5,1985,1,2,3,4363.6532,4363.6531999999825
553,7.905,0,0.010053105,13,249.0408,3,2009,1,2,2,6258.52,962,16.0,1,0.116063284,6,59.1246,3,2009,1,2,2,753.0198,753.0197999999835
1538,9.195,0,0.048157338,9,106.1622,7,2002,1,1,1,2117.244,1423,19.25,0,0.10801000599999999,9,33.3558,6,2004,2,1,1,713.0718,713.0717999999839
107,8.365,0,0.071958197,7,38.0506,9,1999,1,0,1,796.9626,979,13.65,1,0.026579951,10,34.7532,1,1987,0,2,1,683.1108,683.1107999999824
1183,15.1,0,0.17348130399999998,13,194.511,8,1997,2,0,1,4910.275,1217,6.905,1,0.06385097099999999,4,97.2726,0,1998,1,2,0,195.7452,195.74519999998066
485,12.857645184135976,0,0.061082177,3,180.0344,4,1985,2,0,0,892.172,926,6.215,1,0.049902382,0,225.8062,2,2007,1,1,1,3159.8868,3159.886799999982
629,10.0,0,0.0,6,246.9144,3,2009,1,2,2,3185.1872,765,15.35,0,0.074601506,13,90.98299999999999,6,2004,2,1,1,1348.245,1348.2449999999833
1039,7.97,1,0.040071131,10,87.3514,7,2002,1,1,1,1062.6168,12,5.73,0,0.045334097999999996,14,87.0882,1,1987,0,2,1,1803.6522,1803.6521999999807
